name,description,lat2,lon2
Jackson Park Golf Course,Golf,47.72852411,-122.316419
Seattle Golf Club,Golf,47.75576582,-122.3706081
West Seattle Golf Course,Golf,47.56271399,-122.3731568
Jefferson Park Golf Course,Golf,47.59579787,-122.3046901
Interbay Golf Center,Golf,47.65688396,-122.3829677
Broadmoor Golf Club,Golf,47.64172588,-122.2918847
Sand Point Country Club,Golf,47.68906151,-122.2695414
The Golf Club at Redmond Ridge,Golf,47.70690071,-122.0260003
Aldarra Golf Club,Golf,47.58465727,-121.9535047
Foster Golf Links,Golf,47.48160357,-122.2645979
Rainier Golf and Country Club,Golf,47.50496277,-122.3076477
Mount Si Golf Course,Golf,47.51919992,-121.7976528
Twin Rivers Golf Course,Golf,47.56340602,-121.8878051
Harbour Pointe Golf Club,Golf,47.89020877,-122.3106956
